author_name
Kiarash Zahirnia
Douglas S. Lange
Zhaoyan Shen
Chihan Huang
Mengke Li
Zhongmei Yao
Markus Götz
Heeyoung Lee
Guillem Alenyà
Xuan Phong Pham
Yuzhou Yang
P. Krishna Kumar
Weihua Wang
Alexander Schiendorfer
Zhehuan Zhao
Jaco van de Pol
Timothy E. Wang
Thi Kieu Khanh Ho
Zijia Wang
Wolfgang Hintze
Ke Bian
Juergen Branke
Muhammad Uzair-Ul-Haq
Cong Hu
Laura Nenzi
Mingkun Zhang
Penghao Sun
Cherif-Hassan Nousradine
Markus Stocker
Frédéric Precioso
Nan Yu
Jan Tóth
Christian Wirth
Liejun Wang
Michail Savvas
Fabian Dethof
Roberto Capobianco
Paul-Gauthier Noé
Tennison Liu
Tong Wu
Edward C. Malthouse
Seungyeon Choi
Lei Wu
Hinrich Schütze
Yan Shao
Stephen Wissow
Yu Wang
Teng Zhou
Ziwei Zhang
Bruno Yun
Sylvia Keßler
Xiankang He
Alina Pak
Nina Pardal
Jérôme Arjonilla
Badran Raddaoui
Yanli Li
Dylan Cope
Zaiqiao Meng
Roger Xavier Lera-Leri
Yihong Liu
Ran Liu
Tingsheng Tan
Mei Yu
Christelle Loiodice
Dong Han
Tomasz P. Michalak
Carola-Bibiane Schönlieb
Miguel Escarda-Fernández
Mehdi Sabiri
Ali Salesi
Ansgar Scherp
Jayanta Mandi
Zoya Volovikova
Xin Yu
Manajit Das
Rina Dechter
Biyu Zhou
Yulong Liu
Emanuele Sansone
Jun Xu
Mahdieh Soleymani Baghshah
Xiaolong She
Yue Ma
Xi Zhou
Lucia Gordon
Mohammad Essa Alsomali
Haoyang Ju
Min Hun Lee
Keqin Peng
Guillaume Cleuziou
Ziqun Chen
Erez Karpas
Wenrui Dai
Cèsar Ferri
Truyen Tran
Eldad Haber
Weijia Zhang
Hana Weitman
Rudolf Felix
Nicolas Maudet
Panagiotis Kouvaros
Saravan Rajmohan
Katarzyna R. Baran
Jiahao Li
Yauwai Yim
Boyang Liu
George Killick
Tatiana Boura
Yang Yang
Thomas Aicher
Mariia Shpir
Zhizhong Liu
Karl Mason
Taiqiang Wu
Sifan Zhou
Philipp Sievers
Chengqing Zong
Alberto José Bugarín Diz
Luis Galárraga
Ginny Y. Wong
Qiang Lu
Zitao Liu
Pierre Monnin
Maria Glushanina
Lihao Liu
Yasmeen M. Khedr
Liang Xie
Marlo Souza
Thomas M. Moerland
Shamala D/O Thilarajah
Wei Liu
Daniel Hernández
Lin Sheng
Daniel Shapiro
Jose F. Quesada-Moreno
Kuldeep S. Meel
Zeyuan Zhou
Arne Meier
Nathan R. Sturtevant
Hui-Yue Yang
Xuhui Fan
Phurinut Srisawad
Nick Cheney
Ye Yan
Umberto Grandi
Elena Cabrio
Saket Saurabh
Nurit Cohen-Inger
Hankz Hankui Zhuo
Xingyu Song
Maoxun Yuan
Willem-Jan van Hoeve
Lingdong Shen
Sourangshu Bhattacharya
Zahra Atashgahi
Haigen Hu
Christian Sauer
Richard McCreadie
Thorsten Klößner
Chaoxi Niu
Luca Viganò
Sarit Kraus
Tobias John
Jing Zhou
Sergio Abriola
Xin-Chun Li
Yongkang Li
Yanbin Liu
Alessandro Sperduti
Xiang Gu
Duy Le Dinh Anh
Kira Maag
Fangkai Yang
Jonathan Pirnay
Raed Abdel Sater
Hénoïk Willot
Xiaoning Liu
Ivan Donadello
Juan Martínez-Romo
Guohao Lan
Helena Spiridou Goncalves
Ramon Fraga Pereira
Jiahe Ying
Yi Zhou
Hui Xue
Haorao Wei
Jade Garcia Bourrée
Ashutosh Trivedi
Yicheng Liu
Xiaochao Fan
Liang Liu
Alessandro Vinciarelli
Serena Villata
Elizaveta Kovtun
Yongkai Tian
Nicolás Benjamín Ocampo
Rongye Shi
Yuval Elovici
Jan Dubinski
Kimihiro Yamazaki
Shahaf S. Shperberg
Belén Díaz-Agudo
Kim Hoang Tran
Jonghwan Choi
Jean-Marie Lagniez
Lipeng Zhuang
Davide Rigoni
Jean-Louis Dufour
Haina Tang
Martina Mattioli
Emmanouil Seferis
Teli Liu
Stefano Melacci
Niklas Landerer
Hugo Gilbert
Zhentao Xie
Jian Xiao
Thomas Bonald
Dai Do
Letterio Galletta
Bracha Shapira
Zhihao Qu
Christophe Guettier
Miquel Perelló-Nieto
Giulia Vilone
Eugene Yang
Gautham Kishore
Luca Marzari
Jinjin Xu
Ruxin Zhang
Sanjukta Roy
Pedro Saleiro
Angelo Rodio
Seonmin Koo
Boyu Li
Ufuk Topcu
Lóránt Nagy
Ruxandra Barbulescu
Seungtae Park
Wassila Ouerdane
Naïm Es-Sebbani
Manuela Veloso
Daling Wang
Mika Skjelnes
Yvette Graham
Xinggang Wang
Sarthak Jauhari
Xuewei Li
Nastazja Laskowski
Thao Le
Adán José García
Xin Tian
Yunlong Yu
Tianxiang Pan
Yunwei Ou
Dawei Yin
Jinying Xiao
Philipp Cimiano
Shiren Patel
Amy Loutfi
Lingfeng Zhang
Yousef Younes
Alexander Hepburn
Lu Wang
Bruno Dumas
Fares Fourati
Guangneng Hu
Dave Gomboc
Ildikó Schlotter
Joanna Kaczmarek
Xin Lin
Le Gan
Jiafeng Guo
Renaud Sirdey
Jerzy Stefanowski
Tuomo Lehtonen
Tugtekin Turan
Yehong Zhang
Abhay Kumar
Xueqi Cheng
Jingran Yang
Bojun Zhan
De-Chuan Zhan
Yingxi Li
Guanghua Tan
Feilong Bao
Youheng Bai
Thomas A. Runkler
Lingxiao Kong
Yu Zheng
Michael Cashmore
Xin-Qiang Cai
Yilong Fan
Abu Sebastian
Will Connors
Francisco C. Santos
Dmitry Maslov
David Garlan
Xinpeng Hong
Aleksei Trutnev
Alexia Gaudeul
Shweta Jain
Bo Xu
Hang Dong
Yuhan Huang
Chunzhen Jin
Bowen Zhong
Jitong Li
Sebastian-Vasile Echim
Haifeng Li
Weili Guo
Nan Zhong
Oliver Niggemann
Luca Bortolussi
Wiktoria Mieleszczenko-Kowszewicz
Alberto Testolin
Mingfeng Jiang
Alessandro De Palma
Adam Dziedzic
Clarisse Dhaenens
Jelena Fiosina
Erfaneh Mahmoudzadeh
Klaus Broelemann
Ruihan Zhao
Himani
Shuhao Guan
Kunzi Xie
Peter A. Flach
Laurel Zuckerman
Siwen Jiao
PKS Prakash
Noa Agmon
Valeria Fionda
Yong Yang
Dacheng Tao
Jean-Guy Mailly
Kaushiki Nag
Dao Thauvin
Mikhail Baklashkin
Zheng Li
Daniel Key
Le Minh Nguyen
William Knottenbelt
Praveen Paruchuri
Eldan Cohen
Adda-Akram Bendoukha
Greta Damo
Dalma Tóth-Lakits
Dang Nguyen
Galina Boeva
Murray Shanahan
Mohamed Ouaguenouni
Georgios Bakirtzis
Qiaoming Zhu
Jinsung Kim
Stavros Gerolymatos
Alexei Ossadtchi
Sebin Sabu
Aurélie Beynier
Zhan Li
Luke Murayama
Yin Tang
Hong Qu
Jendrik Seipp
Xiabing Zhou
Yaying Huang
Marcello Pelillo
Yang Xiang
Haripriya Harikumar
Tong Zhang
Zixuan Zhu
Michael Morasch
Xiaowang Zhang
Pedro Bizarro
Clara I. Sánchez
Rakebul Hasan
Jian Xie
Paulo Vitor de Campos Souza
Maurice Pagnucco
Erik Schaffernicht
Mei Cao
Manuel R. Torres
Hongye Sun
Pengjie Wang
Niklas Strauß
Yang Gu
Xinjie Zhou
Yang Zhang
Pu Feng
Xiaoyan Sun
Victor Verreet
Qin-Cheng Zheng
Yanping Wang
Yang Zheng
Peifeng Li
Mingyu Xiao
Chen Gong
Songlin Hu
Ellen Rushe
Zhentao Gu
Yiqiang Chen
Xiao Chen
Yongfeng Zhang
Sakshi Deo Shukla
Gongzhen Hu
Yingying Zhu
Simon Delarue
Liangyu Xu
Chong Zhang
Li Guo
Juan Cortés
Wenqiang Zhou
Yuzheng Tan
Parisa Zehtabi
Hans Karlsson
Yuanchun Shi
Jonas Kouwenhoven
Kyle Martin
Ayan Banerjee
Shen Wang
Jiawen Zhang
Yifei Qian
Wenda Li
Na Liu
Maciej Zieba
Luca Corbucci
Sashank Vijay
Charlie Street
Yitian Zhang
Zilin Bian
Avishag Shapira
Laurens Devos
Aoyang Zhou
Dario García-García
Laurent Michel
Nandi Schoots
Vaishali Pal
Leila Amgoud
AKM Mahabubur Rahman
Lorenzo Cascioli
Ilia Semenkov
Xiaoran Fan
Jazmin Zatarain Salazar
Mark Towers
Johannes Andreas Stork
Jia-Hong Huang
Leopoldo E. Bertossi
Sheung Man Yuen
Hodaya Barr
Raju Rangaswami
Yufei Wei
Tatiana Belova
Hanwen Liu
Mingzhu Shen
Ruizhi Hun
Rui Wang
Rui Dias
Yong Zhang
Mohammad Hossein Rohban
Ivan V. Oseledets
Lennert De Smet
Janosch Baltensperger
Yun Sing Koh
Tzeh Yuan Neoh
Giacomo Rosa
Zhuo Tang
Thai Le
Afnan Althoupety
Jiaoyan Chen
Munindar P. Singh
Arvid Weyrauch
Oana Cocarascu
Pascal Kätzel
Zehui Li
Bartosz Wójcik
Alexander Ihler
Rebecca Eifler
Basmah Alsenani
Lluís Gómez
Qi Li
Zhaopeng Tu
Justin Dachille
Guohong Fu
Yuling Wang
Simon Gottschalk
Mari-Liis Allikivi
Anna Choromanska
Oliver Schulte
Jiaqi Zhang
Yixiao Ren
Marta Contreiras Silva
Alperen Tercan
Khanh-Tung Tran
Erwan Hain
Kejia Chen
Yangwenhui Zhang
Reza Abbasi
Cornelia Caragea
Wenbin Zhang
Dominik Wojtczak
Raj Jaiswal
Zhixu Li
Seffi Cohen
Ruixuan Li
Yuqicheng Zhu
Bo Xiong
Yu Zhang
Joonas Järve
Rajiv Ratn Shah
Peilun Du
Mingyu Jin
Rajdeep Sarkar
Björn Oitmann
Raymond K. Wong
Kyungwoo Song
Huiling Qin
Yuchen Huang
Wolfgang Nejdl
Shuo Zhao
Jiahui Song
Matteo Bortoletto
Junjie Zhang
Smail Ait Bouhsain
Kaixuan Chen
Nadja Klein
Achim Streit
Fangshi Zhou
Qinru Qiu
Santiago Cifuentes
Harith Alani
Hai Zhao
Mitch Manzanares
Mourad Kmimech
Huangxuan Zhao
Haozhe Lin
Yao Zhang
Salvatore Ruggieri
Gerhard Backfried
Ayan Mukhopadhyay
Xiaoqiu Xu
Toby Walsh
Osmar Zaïane
Haimin Zhang
Václav Sobotka
Weiqi Luo
Jialin Zhu
Yafei Qi
Rameez Qureshi
Pierre Bisquert
Nirmalie Wiratunga
Damien Bouchabou
Francisco S. Melo
Sofia Michel
Ari Conati
Bruno Veloso
Santu Rana
Marcin Podhajski
Ashish Gupta
Victorien Desbois
Xu Chen
Zhaotie Hao
Arto Klami
Chenyu Zhang
Guillermo Infante
Piji Li
Francois Buet-Golfouse
Mykola Pechenizkiy
Konstantin Schekotihin
Weiye Li
Kazuhiro Terada
Jiahe Chen
Qiu Guan
Masahiro Kaneko
Tianchi Liao
Joschka Boedecker
Heiner Stuckenschmidt
Sofiane Ennadir
Ilaria Lucrezia Amerise
Stéphane Herbin
Zheyu Zhang
Yongchuan Tang
Irfansha Shaik
Matthieu Exbrayat
Kiran Purohit
Shengjia Zhang
Peng Du
Preston K. Robinette
Yuan Zhang
Yunchuan Qin
Wei Wang
Gilles Richard
Xiangyu Zhao
Pablo Mesejo
Mohamed-Slim Alouini
Johannes Klaus Fichte
Yao Zhang
Pedro Mendes
Yuji Ito
Emilie Devijver
Lucas Jarnac
Hai Cao
Matthew Low
Kun He
Deyu Zhang
Zhendong Yu
Guansong Pang
Nicole Weidinger
Guiguang Ding
Olivier Spanjaard
Takashi Katoh
Hoyoon Byun
Hao Huang
Xu Yan
Héctor J. Ortiz-Peña
Jiaming Yang
Lucio La Cava
Qiang Wu
Alexander Demidovskij
Md. Ashraful Amin
Zhuo Sun
Wojciech Czech
Hedinn Steingrimsson
Tigran Ramazyan
Farhad Safaei
Zixian Guo
Xuehai Tang
Gilles Audemard
Antonio Ruiz
Lu Fang
Xiaotao Hu
Johannes Czech
Xinyu Liu
Guoying Zhao
Marco Montali
Sonia González-Vázquez
Xuhui Jiang
JinYeong Bak
Sheryl Paul
Kyungjae Lee
Franziska Boenisch
Thierry Siméon
Andreas Herzig
Davide Grossi
Tao Wang
Liting Gao
Roxana Radulescu
Dumitru-Clementin Cercel
Yu Cao
Xiaoxi Zhang
Yang Liu
Fengjuan Jia
Eugene Santos Jr.
Jörg Rothe
Anders Jonsson
Xu Chen
James Chao
Maaike Venema-Los
Tim Miller
Tiago Marques
Xiaokang Yang
Christoffer Raun
Petr A. Golovach
Amin Ahsan Ali
Anthony Hunter
Yang Qiu
Milind Tambe
Zhe Wang
Wiktor Piotrowski
Zuchao Li
Hua Ding
Yongtao Wang
Matthias Rottmann
Theodor Wulff
Kai Zhang
Cristian Cardellino
Xinning Chen
Zhiyong Feng
Ryoma Bise
Marcel Steinmetz
Shihan Wang
Patrick Westphal
Jesse Davis
Fabio Patrizi
Lei Pan
Marco Foschini
Pradeep K. Murukannaiah
Zhi Feng
Shivam Gupta
Jinrui Zhang
Xin Yao
Xiaofan Zhang
Jiongzhi Zheng
Wil M. P. van der Aalst
Zhiwei Liu
Enrique Tomás Martínez Beltrán
Lars Bengel
Shuoxi Zhang
Kenli Li
Cong Bai
Rakhoon Hwang
Zhenbing Liu
Eng Gee Lim
Giuseppe Lo Re
Andrey Shulga
António M. Fernandes
Nguyen-Khang Le
Edith Elkind
Guang Chen
Rebecca Pope
Min Yu
Jonas Ehrhardt
Zhenxing Qian
Vincenzo Di Vito
Nicholas Kiefer
Guagnyu Wang
Ruixuan Zhang
Przemyslaw Andrzej Walega
Kaixuan Wang
Mateusz Kaminski
Shashank Reddy Chirra
Keijo Heljanko
Pan Mu
Michael Rovatsos
Jin Zhao
Julian Sander
Maria Vanina Martinez
Nikolay Dagaev
George Kosmadakis
Charlotte Debus
Ankush Ojha
Duong Nguyen
Saman A. Zonouz
Pedro Miguel Sánchez Sánchez
Jake Luo
Cong Xu
Rui Fang
Liang Wang
Weiqing Huang
Anan Du
Hui Huang
Vijay Ganesh
András Lukács
Gal A. Kaminka
Bo Peng
Soumyadeep Roy
Guojie Song
Mohammed Bachir Bederina
Dongyang Li
Niloy Ganguly
Jinze Yang
Pengyu Zhang
Hui Ding
Xin Xu
Yuheng Wang
Yitian Chen
Angelo Cangelosi
Wissam Antoun
Sanghyun Park
Anthony Ventresque
Sajal K. Das
Ronald de Haan
Zhenning Li
Jinqiao Wang
Ian Horrocks
Peizhou Huang
Yunxiao Shi
Deyi Xiong
Roger Wattenhofer
Varul Srivastava
Kagan Tumer
Mahisha Ramesh
Xingjiao Wu
Avni Mittal
Francesco Morri
Raphael Theilen
Sébastien Destercke
Jakob Wittenstein
Steffen Staab
Pei Yu
Frederic T. Stahl
Yunjie He
Maurizio Proietti
Francesco Argenziano
Wei Shao
Xiaoyue Li
Yang Lu
Huadong Ma
Paula Reyero Lobo
Aimin Zhou
Ana Ozaki
Nir Lipovetzky
Wenqing Hu
Konrad Furmanczyk
Alicia Fornés
Luca Stradiotti
Ricardo Usbeck
Pavel Denisov
Marco Canini
Shashi Shekhar Jha
Chuansheng Zheng
Yirong Qi
Linda Wei
Mengying Zhao
Alexandre S. Pires
Sylvie Thiébaux
Mingjie Sun
Carlos Soares
Feng Chen
Decebal Constantin Mocanu
Riccardo Sartori
Daniel Höller
Walter Daelemans
Kimon Boehmer
Benoît Rottembourg
Karim El Haff
Wenyu Liu
Yuan Fang
Chunlin Tian
Jakob Vigerust Kallestad
Bartosz Zielinski
Pegah Alizadeh
Yongqiang Ma
Peter Müllner
Seokho Kang
Alexey Skrynnik
Banafsheh Rekabdar
Michael Backes
Ugur-Ilker Atmaca
Massimo Nicosia
Meelis Kull
Masood Feyzbakhsh Rankooh
Yangjie Cao
Chenhan Wang
Subrat Prasad Panda
Manni Duan
Elena Umili
Jinzhi Ouyang
Álvaro Freitas Moreira
Zhi-Song Liu
Baoyun Peng
Salim Debbaoui
Zijun Long
Jieying Chen
Ziyad Oulhaj
Oleksii Furman
Qifeng Zhang
Giuseppe Pirrò
Nicole Orzan
Yibo Zhao
Sz-Ting Tzeng
Anne-Marie Kermarrec
Gerardo Aragon-Camarasa
Vicenç Gómez
Xiaohao Cai
Anandsingh Chauhan
Xuewen Chen
Jean-François Bonastre
Quandong Wang
Maolong Yin
Xi Yan
Nesrine Kaaniche
Chester Wyke
Wenjie Li
Jelle Piepenbrock
Weizheng Gu
Dehui Du
Clément Chauvet
Amir Aminifar
Yangqiu Song
Lukas Struppek
Jacob Christopher
Junfeng Wang
Dongyan Guo
Álvaro S. Hervella
Liwu Xu
Valentin Zech
Harish G. Ramaswamy
Pavel Zwerschke
Noa Zilberman
Enrico Daga
Yunyi Zhou
João Marques-Silva
Jianwei Zheng
Michalis Vazirgiannis
Ling Liu
Véronique Pitchon
Liang Ding
Xiaoqiang Teng
Emanuele De Angelis
Shanu Vashishtha
Xuan Liu
Fernando P. Santos
Alexander Tuisov
Junnan Zhu
Eerdun Hasi
Marcel Vinzent
Parisa Salmani
Sankarshan Damle
Aðalsteinn Pálsson
Shen-Huan Lyu
Sylvie Coste-Marquis
Ali Abdollahi
Astha Verma
Vincent Mousseau
Atith Gandhi
Kamil Adamczewski
Guixing Wu
Nu Hoang
Tom Lumley
Mahdi Hadj Ali
Srikanth R. Madikeri
Yifei Wang
Xiang Meng
Jiamou Liu
Jörg Hoffmann
Hadi Hosseini
Mina Rezaei
Chen Wang
Jannis Blüml
Tristan Cazenave
Chang-Tsun Li
Yanhua Yu
Yihong Wu
Lalitesh Morishetti
Dilara Keküllüoglu
Giovanni Varricchione
Trung Thanh Nguyen
Hao Zhang
Patrick Mannion
Wenke Lee
Vladislav Aksiotis
Zhiwei Lin
Hiroaki Ito
Pavithra Rajendran
Anna Esposito
Gabriel de Senne Amorim
Albert Wang
David Corsar
Vincent Sobanski
Marina Escobar-Planas
Xiaodi Huang
Weiqi Zhai
Yohai Trabelsi
Yunbin Tu
Jia He
Xinghua Zhang
Andrew S. Miner
Dinghao Xue
Hyung Ju Hwang
Akihiko Yoshizawa
Junting Lu
Xianyuan Zhan
Dong Shu
Ziheng Guo
Athanasios P. Meliopoulos
Arlindo L. Oliveira
Nathan Gavenski
Silvia Izquierdo-Badiola
Xiao Su
Huawen Liu
Changlong He
Ying Zheng
Baichuan Huang
Hui Chen
Yuzhu Ji
Xiaobo Jin
Adam Prügel-Bennett
Anna Monreale
Shanshan Zheng
Hong Qian
Bin Gong
Medha Kumar
Han Liang
Xiting Qin
Joery A. de Vries
Xiaofeng He
Xin Li
Burkhard Stiller
Taehee Kim
Hongjian Bo
Dominik Kowald
Liqun Li
Anna Raichev
Bruno Lacerda
Olga Tsymboi
Xiang Li
Yongqing Zhu
Ikechukwu Nkisi-Orji
Xinping Zheng
Tianyi Xu
Hongbo Zhu
Yushe Cao
Yali Du
Zhongke Wu
Chenwei Tang
Weichao Zeng
Bernhard Sick
Xiaowei Bai
Alessandro Farinelli
Haichuan Zhao
Bingbing Hu
Pietro Liò
Chamath Palihawadana
Jianqiang Li
Bart de Keijzer
Duc Thien Pham
Petr Kuderov
Nakul Upadhya
Cheng Huang
Michela Iezzi
Yichu Xu
Samir Otmane
Yufei Zha
Maximilian Bernhard
Haifeng Xu
Ming-Syan Chen
Frédéric Armetta
Miriam Fernández
Hao Fang
Md. Atik Ahamed
Fahad Alsaeed
Andrei Jarca
Zoé Christoff
Jian Qian
Shaojuan Wu
Zufan Zhang
Claudia V. Goldman
Nicholas Asher
Jorge Novo
Ryuta Matsuno
Shunsuke Kubo
Yongjian Tang
Madjid Maidi
Jun Xie
Parmis Naddaf
